vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,B,240,121,9,10,False,,7,5,225,0,0,7,0,1,1,1,0,1,4,0,0
B,B,207,104,8,10,False,,9,5,191,0,0,4,1,0,0,1,0,2,3,0,0
A,B,228,114,10,6,False,A,6,10,212,0,0,8,0,1,0,0,1,0,2,1,0
B,A,270,135,8,10,False,,10,1,259,0,0,3,1,2,0,0,0,1,3,0,0
B,B,275,138,9,10,False,,6,5,264,0,0,4,0,1,1,0,2,1,5,0,0
B,A,184,93,9,10,False,,7,6,170,0,0,4,0,1,0,2,1,0,4,0,0
B,B,153,77,6,10,False,,9,6,137,0,0,6,1,1,0,1,1,0,3,0,0
B,A,290,145,7,10,False,,6,3,281,1,2,5,2,2,2,0,0,0,5,0,0
B,A,218,110,9,10,False,,8,4,202,0,0,7,0,1,1,2,2,0,6,0,0
B,B,139,70,4,10,False,B,8,4,127,0,0,5,1,0,0,0,1,1,2,1,0
B,B,111,56,8,10,False,,10,4,97,0,0,7,1,0,1,1,1,1,4,0,0
B,B,195,98,9,10,False,,10,4,181,0,0,4,2,0,0,1,1,2,4,0,0
B,B,211,106,6,10,False,A,9,3,199,0,0,8,1,2,0,0,1,1,4,1,0
B,A,202,101,7,10,False,,7,6,187,0,0,7,0,0,0,1,1,0,2,0,0
A,B,244,122,10,9,False,A,6,3,235,0,0,7,2,1,2,0,1,1,5,1,0
A,B,186,94,10,8,False,,4,11,167,0,0,8,2,0,1,2,0,0,3,0,0
A,B,218,109,10,5,False,,9,3,206,0,0,6,0,2,0,0,0,1,3,0,0
A,B,186,93,10,6,False,,7,5,174,0,0,5,1,0,0,1,2,1,4,0,0
A,A,213,107,10,9,False,,9,3,199,0,0,5,2,1,0,1,1,1,4,0,0
B,B,208,105,8,10,False,,6,8,193,0,0,4,1,0,3,1,0,0,4,0,0
B,A,174,88,8,10,False,,7,7,160,0,0,6,1,0,3,1,0,1,5,0,0
A,B,206,103,10,7,False,,6,7,193,0,0,7,0,0,0,0,1,3,4,0,0
A,A,239,120,10,9,False,B,9,2,228,0,0,4,0,0,2,0,1,0,3,1,0
B,A,322,161,6,10,False,A,6,4,312,0,0,7,0,2,1,0,2,3,8,1,0
A,A,204,103,10,8,False,,8,1,193,0,0,5,2,0,2,1,2,1,6,0,1
B,B,218,110,5,10,False,,8,4,205,0,0,8,1,0,1,1,0,2,4,0,0
A,A,170,86,10,8,False,B,9,2,157,0,0,6,2,0,0,1,1,0,2,1,0
