vencedor_papel,primeiro_papel,turnos,rodadas,pontos_a,pontos_b,teve_comeback,juiz_papeis,atacar_principal,atacar_secundario,atacar_terciario,barragem_cadeia,barragem_profundidade_soma,colocar_local,evoluir,guardiao_Descanso,guardiao_Escudos,guardiao_Oprimidos,guardiao_Portais,guardiao_Restauracao,invocar_guardiao,invocar_juiz,invocar_mestre
B,A,164,82,6,10,False,,9,5,150,0,0,2,0,1,1,1,0,1,4,0,0
A,A,203,102,10,8,False,,9,3,191,0,0,7,1,0,0,0,1,2,3,0,0
A,A,233,117,10,9,True,,8,3,222,0,0,5,1,0,1,0,0,3,4,0,0
B,A,200,100,7,10,False,,12,4,184,0,0,3,0,2,1,0,0,1,4,0,0
B,B,285,143,8,10,False,,8,4,273,0,0,7,0,0,0,0,1,2,3,0,0
B,B,257,129,6,10,False,,6,3,248,0,0,3,0,1,3,0,1,0,5,0,0
B,B,156,79,7,10,False,,11,2,140,0,0,4,0,2,0,1,0,0,3,0,0
B,A,126,64,7,10,False,,9,7,110,0,0,5,0,0,0,2,1,0,3,0,0
B,A,184,92,8,10,False,,10,3,170,0,0,4,0,0,0,2,1,2,5,0,0
A,B,192,96,10,8,False,,9,2,180,0,0,7,1,1,1,1,1,0,4,0,0
A,B,232,116,10,6,False,B,7,6,219,0,0,3,3,0,1,0,1,1,3,1,0
B,A,208,105,6,10,False,,5,5,198,0,0,4,1,0,0,1,3,1,5,0,0
A,A,133,67,10,6,False,,9,3,121,0,0,4,1,1,2,0,0,1,4,0,0
A,B,204,102,11,7,False,,8,4,192,0,0,4,2,0,2,0,2,1,5,0,0
B,B,159,80,7,10,False,,10,1,147,0,0,8,0,1,1,1,0,1,4,0,0
B,B,175,88,8,10,False,,9,1,165,0,0,6,0,2,1,1,0,1,5,0,0
B,A,170,85,9,10,False,,7,5,158,0,0,6,1,2,1,1,1,0,5,0,0
B,B,96,49,4,10,False,B,9,1,78,0,0,4,1,1,0,1,0,0,2,1,0
B,B,191,96,7,10,False,,6,4,180,0,0,6,1,0,2,1,0,2,5,0,0
B,B,199,100,9,10,False,,8,3,184,0,0,10,2,1,2,1,0,1,5,0,0
B,A,202,101,8,10,False,,6,5,191,1,2,3,1,0,1,0,2,1,4,1,0
A,B,192,96,10,7,False,B,8,3,181,0,0,6,1,1,0,0,1,0,2,1,0
B,B,205,103,6,10,False,,6,6,193,0,0,3,0,2,1,0,1,0,4,0,0
A,A,135,68,10,6,False,,7,9,119,0,0,3,3,0,0,0,1,1,2,0,0
A,B,254,127,10,9,False,,11,4,239,0,0,6,0,0,2,0,1,1,4,0,0
B,B,190,96,7,10,False,,7,4,179,0,0,3,0,0,2,1,0,1,4,0,0
A,A,219,110,10,6,False,,10,2,207,0,0,8,1,2,1,0,1,0,4,0,0
A,B,288,144,10,6,False,,11,1,276,1,2,6,0,1,1,0,2,0,5,0,0
B,B,187,94,8,10,False,,12,3,172,0,0,3,1,0,0,0,0,2,2,0,0
A,A,137,69,10,7,False,,8,1,127,0,0,4,2,0,2,1,2,0,5,0,0
A,B,166,83,10,7,False,B,6,0,159,0,0,3,2,1,2,1,0,1,5,1,0
B,A,156,78,6,10,False,B,5,7,144,0,0,8,1,2,0,1,0,0,3,1,0
B,A,192,97,6,10,False,,9,4,179,0,0,4,1,0,2,1,0,0,3,0,0
B,B,207,104,7,10,False,,11,0,195,0,0,7,0,0,1,1,1,1,4,0,0
B,A,228,114,9,10,False,,9,5,214,0,0,5,0,0,1,0,0,1,2,0,0
B,A,170,85,8,10,False,B,8,5,157,0,0,7,1,0,1,0,1,0,2,1,0
B,B,175,88,6,10,False,,10,3,162,0,0,4,1,0,1,0,0,1,2,0,0
B,A,150,75,8,10,False,A|B,6,3,141,0,0,8,2,1,0,1,0,1,3,2,0
B,B,252,127,9,10,False,,5,7,239,0,0,6,0,1,1,2,1,0,5,0,0
B,B,181,91,9,10,False,,9,3,166,0,0,6,1,0,0,1,0,1,2,0,0
A,B,220,110,10,8,False,B,9,5,206,0,0,6,1,0,0,0,1,0,1,1,0
B,B,203,102,8,10,False,,5,8,187,0,0,5,0,1,1,1,0,0,3,0,0
A,B,246,123,10,9,False,,11,2,233,0,0,7,1,0,2,0,0,1,3,0,0
A,A,157,79,10,4,False,,9,3,145,0,0,6,1,2,1,0,0,0,3,0,0
B,A,278,139,9,10,False,,9,6,263,0,0,9,0,2,0,0,0,0,2,0,0
B,B,199,100,6,10,False,,10,2,187,0,0,7,0,1,1,1,1,0,4,0,0
A,B,214,107,10,7,False,,6,5,203,0,0,6,1,2,1,0,2,0,5,0,0
B,B,223,112,8,10,False,A,3,7,211,0,0,6,0,1,1,2,0,2,6,1,0
A,B,196,98,10,4,False,,8,2,186,0,0,4,2,2,0,0,0,1,3,0,0
B,A,268,134,9,10,False,,6,7,255,0,0,4,0,1,1,0,0,2,4,0,0
B,A,124,62,4,10,False,,8,3,113,1,2,5,1,0,0,1,0,0,2,0,0
A,A,135,68,10,7,False,,9,3,123,0,0,7,2,1,1,1,0,1,4,0,0
A,B,118,59,10,5,False,,10,3,105,0,0,4,1,2,0,1,2,0,5,0,0
